City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,chibougamau,49.9168,-74.3659,294.94,43,20,2.06,CA,1686524541
129,castillos,-34.1667,-53.8333,280.04,76,23,3.82,UY,1686524664
130,alofi,-19.0595,-169.9187,299.09,78,97,5.14,NU,1686524664
131,vorgashor,67.5833,63.95,272.8,82,100,7.95,RU,1686524664
132,xochitlan todos santos,18.7,-97.7833,298.16,46,96,4.26,MX,1686524664
133,avarua,-21.2078,-159.775,300.18,78,5,1.54,CK,1686524472
134,tuy hoa,13.0833,109.3,300.85,70,100,5.51,VN,1686524553
135,hermanus,-34.4187,19.2345,287.48,86,96,9.72,ZA,1686524555
136,petropavlovsk-kamchatsky,53.0452,158.6483,289.48,48,0,2.0,RU,1686524665
137,darwin,-12.4611,130.8418,296.14,88,0,2.57,AU,1686524403
138,tamandare,-8.7597,-35.1047,297.79,87,13,3.75,BR,1686524666
139,sur,22.5667,59.5289,302.38,69,100,1.95,OM,1686524628
140,geraldton,-28.7667,114.6,284.38,82,75,3.6,AU,1686524553
141,faaa,-17.55,-149.6,302.13,61,75,2.06,PF,1686524667
142,guatire,10.4762,-66.5427,296.77,96,94,1.4,VE,1686524667
143,beberibe,-4.1797,-38.1306,298.99,85,1,5.44,BR,1686524667
144,manismata,-2.4667,111.0333,296.52,100,91,1.14,ID,1686524667
145,bamboo flat,11.7,92.7167,302.2,84,75,3.6,IN,1686524668
146,lerwick,60.1545,-1.1494,285.15,94,100,3.85,GB,1686524668
147,tura,25.5198,90.2201,295.85,96,100,2.05,IN,1686524668
148,kirakira,-10.4544,161.9205,301.38,79,57,3.76,SB,1686524668
149,quesnel,52.9999,-122.5029,298.43,23,0,3.6,CA,1686524669
150,remire-montjoly,4.9167,-52.2667,297.17,100,100,0.51,GF,1686524669
151,thetford-mines,46.0937,-71.3054,295.21,78,97,1.86,CA,1686524669
152,palangkaraya,-2.2,113.8333,296.34,98,74,0.71,ID,1686524669
153,papatowai,-46.5619,169.4708,283.5,81,80,3.79,NZ,1686524669
154,porto seguro,-16.4497,-39.0647,297.44,88,20,2.06,BR,1686524519
155,keflavik,64.0049,-22.5624,282.1,81,100,8.23,IS,1686524670
156,touros,-5.1989,-35.4608,297.85,89,9,4.63,BR,1686524670
157,nasiriyah,31.0521,46.261,308.84,19,0,4.18,IQ,1686524670
158,ust-nera,64.5667,143.2,292.41,50,100,4.26,RU,1686524670
159,holualoa,19.6228,-155.9522,299.06,87,40,4.12,US,1686524671
160,kingston,17.997,-76.7936,303.84,71,20,8.75,JM,1686524671
161,el burgo de osma,41.5862,-3.0652,287.26,78,69,0.7,ES,1686524671
162,alaghsas,17.0187,8.0168,305.09,35,96,2.96,NE,1686524671
163,sinop,41.7711,34.8709,287.99,93,100,0.15,TR,1686524672
164,constanta,44.1833,28.65,289.65,85,78,5.64,RO,1686524476
165,olonets,60.9847,32.9698,280.62,54,66,1.94,RU,1686524672
166,lospalos,-8.5186,127.0025,295.97,75,67,3.77,TL,1686524672
167,tarko-sale,64.9225,77.785,281.14,81,95,3.8,RU,1686524672
168,chonchi,-42.6128,-73.8092,280.71,93,76,1.53,CL,1686524545
169,ahwa,20.75,73.6833,299.03,66,67,2.7,IN,1686524672
170,howrah,22.5892,88.3103,300.15,94,75,1.54,IN,1686524673
171,qaqortoq,60.7167,-46.0333,278.22,79,7,2.33,GL,1686524673
172,pangai,-19.8,-174.35,298.21,73,75,5.14,TO,1686524673
173,puerto deseado,-47.7503,-65.8938,278.07,65,40,13.72,AR,1686524673
174,flying fish cove,-10.4217,105.6791,298.97,88,100,4.63,CX,1686524674
175,ponta delgada,37.7333,-25.6667,291.55,82,20,3.6,PT,1686524412
176,kirkland lake,48.1446,-80.0377,285.31,82,98,1.03,CA,1686524674
177,burgersdorp,-30.9977,26.3286,279.26,39,61,1.6,ZA,1686524674
178,igrim,63.1906,64.4162,277.74,65,95,5.43,RU,1686524675
179,utrik,11.2278,169.8474,300.82,83,40,7.71,MH,1686524675
180,puerto armuelles,8.2833,-82.8667,304.14,88,100,2.24,PA,1686524675
181,east london,-33.0153,27.9116,291.2,32,22,4.49,ZA,1686524675
182,lata,40.1629,-8.3327,290.88,91,100,0.86,PT,1686524675
183,vanimo,-2.6741,141.3028,300.43,80,100,2.79,PG,1686524675
184,neiafu,-18.65,-173.9833,299.53,69,40,3.6,TO,1686524675
185,bel ombre,-4.6167,55.4167,300.06,78,40,6.69,SC,1686524676
186,aliveri,38.4167,24.0333,295.6,82,81,2.04,GR,1686524676
187,hadibu,12.65,54.0333,301.05,80,99,8.14,YE,1686524676
188,port saint john's,-31.6229,29.5448,289.68,44,0,3.15,ZA,1686524544
189,gizo,-8.103,156.8419,301.52,75,27,2.68,SB,1686524676
190,nar'yan-mar,67.6713,53.087,276.65,60,100,3.76,RU,1686524676
191,solwezi,-12.1688,26.3894,287.77,56,8,0.52,ZM,1686524467
192,bukittinggi,-0.3091,100.3706,291.21,96,71,0.44,ID,1686524677
193,kapuskasing,49.4169,-82.4331,285.2,54,75,4.12,CA,1686524677
194,aykhal,66.0,111.5,273.75,89,74,7.28,RU,1686524677
195,klyuchi,52.2667,79.1667,287.34,65,0,1.45,RU,1686524677
196,conde,-7.2597,-34.9075,296.85,100,75,0.0,BR,1686524587
197,viedma,-40.8135,-62.9967,279.64,67,18,4.33,AR,1686524364
198,tralee,52.2704,-9.7026,286.51,94,28,0.85,IE,1686524678
199,villa de leyva,5.645,-73.5667,289.3,92,75,0.98,CO,1686524678
200,nantucket,41.2835,-70.0995,292.59,82,20,2.57,US,1686524483
201,guiuan,11.0333,125.7247,302.07,76,100,5.84,PH,1686524678
202,sarmiento,-45.5882,-69.07,277.58,69,0,4.3,AR,1686524678
203,illizi,26.4833,8.4667,308.04,14,0,1.44,DZ,1686524541
204,guisa,20.255,-76.5386,300.35,74,62,2.1,CU,1686524678
205,eldorado,-23.7869,-54.2836,288.56,97,45,4.47,BR,1686524678
206,praia da vitoria,38.7333,-27.0667,293.29,83,20,2.92,PT,1686524679
207,mejit,10.2753,170.8646,301.12,81,22,6.88,MH,1686524679
208,diapaga,12.0708,1.7889,301.67,61,65,4.36,BF,1686524679
209,ploneour-lanvern,47.9,-4.2833,288.33,94,0,1.54,FR,1686524679
210,aral,40.5156,81.2636,300.97,15,14,2.76,CN,1686524679
211,senise,40.1471,16.2889,289.47,90,50,2.13,IT,1686524679
212,okakarara,-20.5833,17.4333,285.34,39,0,3.09,NA,1686524680
213,newman,37.3138,-121.0208,305.34,28,55,1.79,US,1686524680
214,nova sintra,14.8667,-24.7167,295.09,84,5,10.09,CV,1686524566
215,farasan,16.7022,42.1183,305.61,70,94,9.05,SA,1686524680
216,shentala,54.45,51.4833,280.51,67,100,3.91,RU,1686524680
217,changji,44.0167,87.3167,297.59,43,0,1.0,CN,1686524680
218,satipo,-11.2522,-74.6386,296.52,85,35,0.57,PE,1686524680
219,tazovsky,67.4667,78.7,280.73,92,82,2.48,RU,1686524388
220,poli,-3.3333,36.8,286.58,82,0,0.0,TZ,1686524681
221,susuman,62.7833,148.1667,294.06,39,37,4.84,RU,1686524681
222,kolonia town,6.964,158.206,303.21,79,100,5.14,FM,1686524681
223,harper,4.375,-7.7169,298.47,81,95,5.21,LR,1686524681
224,bosaso,11.2842,49.1816,306.68,47,100,2.08,SO,1686524682
225,stepnogorsk,52.3544,71.8869,287.6,79,27,2.71,KZ,1686524682
226,brandon,27.9378,-82.2859,304.98,64,0,3.09,US,1686524682
227,alice springs,-23.7,133.8833,283.9,76,40,0.0,AU,1686524409
228,kangding,30.0513,101.9603,283.04,88,100,1.39,CN,1686524682
229,preobrazheniye,42.9019,133.9064,287.13,98,100,3.4,RU,1686524683
230,nyurba,63.2842,118.3319,279.49,57,86,4.92,RU,1686524683
